property_id,source,title,description_en,description_st,price,currency,district,location_text,property_type,bedrooms,bathrooms,image_paths,listing_url,condition,style,environment,amenities,listing_intent,image_count,country,district_canonical,district_resolution,locality,use_bucket,cnn_property_type,cnn_bedroom_class,split,cnn_exclusion_reasons,is_residential_curated,is_cnn_candidate
creative-stunning-new-units-to-let-for-office-or-residential,creativeproperties,Stunning New Units To Let for Office or Residential,4 Bedroom Units to Let,"Thepa ena ya mofuta wa commercial e fumaneha Maseru, Katlehong. E na le dikamore tse 4 le dibate tse 3 mme e fumaneha ka theko e sa hlaloswang. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",120000,LSL,Maseru,"Maseru, Katlehong",Commercial,4,3,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\creativeproperties\\creative-stunning-new-units-to-let-for-office-or-residential\\image_1.png"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\creativeproperties\\creative-stunning-new-units-to-let-for-office-or-residential\\image_2.jpeg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\creativeproperties\\creative-stunning-new-units-to-let-for-office-or-residential\\image_3.jpeg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\creativeproperties\\creative-stunning-new-units-to-let-for-office-or-residential\\image_4.jpeg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\creativeproperties\\creative-stunning-new-units-to-let-for-office-or-residential\\image_5.jpeg""]",https://creativeproperties.co.ls/properties/stunning-new-units-to-let-for-office-or-residential/,New,Modern,Suburban,"[""yard"", ""furnished""]",rent,5,Lesotho,Maseru,text_match,Maseru,commercial,,4,test,not_residential:commercial,False,False
creative-available-for-office-or-residential,creativeproperties,Available for Office or Residential!,House to let for in the City!,"Thepa ena ya mofuta wa commercial e fumaneha Matsoatlareng, Maseru, Matsoatlareng. E na le dikamore tse 3 le dibate tse 2 mme e fumaneha ka theko ya M 10,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",10000,LSL,Maseru,"Matsoatlareng, Maseru, Matsoatlareng",Commercial,3,2,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\creativeproperties\\creative-available-for-office-or-residential\\image_1.png"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\creativeproperties\\creative-available-for-office-or-residential\\image_2.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\creativeproperties\\creative-available-for-office-or-residential\\image_3.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\creativeproperties\\creative-available-for-office-or-residential\\image_4.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\creativeproperties\\creative-available-for-office-or-residential\\image_5.jpg""]",https://creativeproperties.co.ls/properties/available-for-office-or-residential/,Good,Contemporary,Urban,"[""yard"", ""furnished""]",rent,5,Lesotho,Maseru,text_match,Matsoatlareng,commercial,,3,train,not_residential:commercial,False,False
creative-duplex-for-office-space-only,creativeproperties,Duplex for Office Space Only!,Duplex Office Space to Let,"Thepa ena ya mofuta wa townhouse e fumaneha Mpilo. E na le dikamore tse 2 le dibate tse 1 mme e fumaneha ka theko ya M 8,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",8000,LSL,Mpilo,Mpilo,Townhouse,2,1,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\creativeproperties\\creative-duplex-for-office-space-only\\image_1.png"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\creativeproperties\\creative-duplex-for-office-space-only\\image_2.jpeg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\creativeproperties\\creative-duplex-for-office-space-only\\image_3.jpeg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\creativeproperties\\creative-duplex-for-office-space-only\\image_4.jpeg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\creativeproperties\\creative-duplex-for-office-space-only\\image_5.jpeg""]",https://creativeproperties.co.ls/properties/duplex-for-office-space-only/,Good,Contemporary,Suburban,"[""yard"", ""office-ready"", ""furnished""]",rent,5,Lesotho,Maseru,locality_match,Mpilo,commercial,,2,train,not_residential:commercial,False,False
propmarket-oj_xuOc0uxThqwcxAWGEU,propmarket,Shopping Centre,"The shopping centre is located at Maseru South, with 100% Occupancy Rate.. It can be used as \n.Grocery shop\n.Offsales\n.Butchery\n.Pharmacy\n.Telephone/Computer Repair Shop\n.Botique Outlet\n.Fast Food outlet\n.\n\n","Thepa ena ya mofuta wa commercial e fumaneha Maseru South Village, Maseru. E na le sebaka sena le dibate tse 1 mme e fumaneha ka theko ya M 4,500,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",4500000,LSL,Maseru,"Maseru South Village, Maseru",Commercial,0,1,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-oj_xuOc0uxThqwcxAWGEU\\image_1.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-oj_xuOc0uxThqwcxAWGEU\\image_2.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-oj_xuOc0uxThqwcxAWGEU\\image_3.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-oj_xuOc0uxThqwcxAWGEU\\image_4.jpg""]",https://www.propmarket.co.ls/properties/oj_xuOc0uxThqwcxAWGEU,Good,Contemporary,Urban,[],sale,4,Lesotho,Maseru,text_match,Maseru South Village,commercial,,,train,not_residential:commercial,False,False
propmarket-I49JRUkwwGMgsdO6f8JMf,propmarket,Village Shopping Complex,This vilage shopping complex is at Ha-Foso Lema with 4 units.,"Thepa ena ya mofuta wa commercial e fumaneha Ha Foso, Berea. E na le sebaka sena le dibate tse 1 mme e fumaneha ka theko ya M 1,500,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",1500000,LSL,Berea,"Ha Foso, Berea",Commercial,0,1,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-I49JRUkwwGMgsdO6f8JMf\\image_1.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-I49JRUkwwGMgsdO6f8JMf\\image_2.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-I49JRUkwwGMgsdO6f8JMf\\image_3.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-I49JRUkwwGMgsdO6f8JMf\\image_4.jpg""]",https://www.propmarket.co.ls/properties/I49JRUkwwGMgsdO6f8JMf,Good,Contemporary,Urban,[],sale,4,Lesotho,Berea,text_match,Ha Foso,commercial,,,train,not_residential:commercial,False,False
propmarket-Xm4gDdTjpEarJdVGwcklo,propmarket,Shopo,This is a very big site in Nazareth before you reach the garage.. there is a shop and a bar at 450k and the price is negotiable..,"Thepa ena ya mofuta wa site e fumaneha Nazareth, Maseru. E na le sebaka sena mme e fumaneha ka theko ya M 450,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",450000,LSL,Maseru,"Nazareth, Maseru",Site,0,0,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-Xm4gDdTjpEarJdVGwcklo\\image_1.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-Xm4gDdTjpEarJdVGwcklo\\image_2.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-Xm4gDdTjpEarJdVGwcklo\\image_3.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-Xm4gDdTjpEarJdVGwcklo\\image_4.jpg""]",https://www.propmarket.co.ls/properties/Xm4gDdTjpEarJdVGwcklo,Good,Contemporary,Urban,"[""garage""]",sale,4,Lesotho,Maseru,text_match,Nazareth,commercial,,,train,not_residential:commercial,False,False
propmarket-a_XSZfatKUY53228kTVOd,propmarket,Commercial,"This commercial site is at Ha-Mosalla, it has buildings in it.. you can turn it into B&B, it also has a tavern in the yard. Just 2 minutes to the tar road.. 1M negotiable.. There is a lease","Thepa ena ya mofuta wa site e fumaneha Ha Mosalla, Maseru. E na le sebaka sena mme e fumaneha ka theko ya M 1,000,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",1000000,LSL,Maseru,"Ha Mosalla, Maseru",Site,0,0,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-a_XSZfatKUY53228kTVOd\\image_1.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-a_XSZfatKUY53228kTVOd\\image_2.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-a_XSZfatKUY53228kTVOd\\image_3.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-a_XSZfatKUY53228kTVOd\\image_4.jpg""]",https://www.propmarket.co.ls/properties/a_XSZfatKUY53228kTVOd,Good,Family,Garden,"[""yard"", ""road access"", ""tar road""]",sale,4,Lesotho,Maseru,text_match,Ha Mosalla,commercial,,,train,not_residential:commercial,False,False
propmarket-VOfuPWdDqZF7vTq7W0rd5,propmarket,Warehouse,"This warehouse is at Ha Foso, ena le li office, 2 pavementmakers,brickmaker, 2 trucks,.. site ke 7900 sqm","Thepa ena ya mofuta wa house e fumaneha Koalabata, Berea. E na le dikamore tse 2 le dibate tse 1 mme e fumaneha ka theko ya M 9,000,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",9000000,LSL,Berea,"Koalabata, Berea",House,2,1,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-VOfuPWdDqZF7vTq7W0rd5\\image_1.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-VOfuPWdDqZF7vTq7W0rd5\\image_2.jpg""]",https://www.propmarket.co.ls/properties/VOfuPWdDqZF7vTq7W0rd5,Good,Contemporary,Suburban,"[""office-ready""]",sale,2,Lesotho,Berea,text_match,Koalabata,commercial,,2,train,not_residential:commercial,False,False
propmarket-pc_MMQtVKLqoGm2esl_IC,propmarket,Village Shopping Complex,"The mini shopping complex is at Koalabata near Koalabata Primary at just 2m...It consists of 900sqm commercial site ,four double rentals, mini storage, internet shop, butchery, pharmacy, offsales, big supermarket/warehouse,","Thepa ena ya mofuta wa house e fumaneha Koalabata, Berea. E na le dikamore tse 2 le dibate tse 1 mme e fumaneha ka theko ya M 2,000,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",2000000,LSL,Berea,"Koalabata, Berea",House,2,1,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-pc_MMQtVKLqoGm2esl_IC\\image_1.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-pc_MMQtVKLqoGm2esl_IC\\image_2.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-pc_MMQtVKLqoGm2esl_IC\\image_3.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-pc_MMQtVKLqoGm2esl_IC\\image_4.jpg""]",https://www.propmarket.co.ls/properties/pc_MMQtVKLqoGm2esl_IC,Good,Contemporary,Urban,[],sale,4,Lesotho,Berea,text_match,Koalabata,commercial,,2,train,not_residential:commercial,False,False
propmarket-CjMDJxYj7gYwhhmzGJLQZ,propmarket,"3 Bedrooms, Commercial",- 5000sqm land\n- 3 x bedroomed house\n- 2 room flat\n- 1 x bar\n- 1 x workshop\n- 1 x storeroom\n- 1 x (10m x 10m office) \n- Borehole \n- A big piece of the land still undeveloped\n- Situated in an industrial area alongside the main road. \n,"Thepa ena ya mofuta wa apartment e fumaneha Ladybrand, Mantsopa Local Municipality. E na le dikamore tse 3 le dibate tse 1 mme e fumaneha ka theko ya M 1,600,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",1600000,LSL,Mantsopa Local Municipality,"Ladybrand, Mantsopa Local Municipality",Apartment,3,1,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-CjMDJxYj7gYwhhmzGJLQZ\\image_1.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-CjMDJxYj7gYwhhmzGJLQZ\\image_2.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-CjMDJxYj7gYwhhmzGJLQZ\\image_3.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-CjMDJxYj7gYwhhmzGJLQZ\\image_4.jpg""]",https://www.propmarket.co.ls/properties/CjMDJxYj7gYwhhmzGJLQZ,Good,Contemporary,Urban,"[""road access"", ""office-ready""]",sale,4,South Africa,Outside Lesotho,outside_lesotho,Ladybrand,commercial,,3,train,outside_lesotho|not_residential:commercial,False,False
