property_id,source,title,description_en,description_st,price,currency,district,location_text,property_type,bedrooms,bathrooms,image_paths,listing_url,condition,style,environment,amenities,listing_intent,image_count,country,district_canonical,district_resolution,locality,use_bucket,cnn_property_type,cnn_bedroom_class,split,cnn_exclusion_reasons,is_residential_curated,is_cnn_candidate
propmarket-Vvj9IHQrQiaAykI1bpxTi,propmarket,Site,"This beautiful site is at Thetsane West with 588 sqm, it has exellent neighbourhood,exellent view, has a lease at just 600k.","Thepa ena ya mofuta wa site e fumaneha Thetsane West, Maseru. E na le sebaka sena mme e fumaneha ka theko ya M 600,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",600000,LSL,Maseru,"Thetsane West, Maseru",Site,0,0,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-Vvj9IHQrQiaAykI1bpxTi\\image_1.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-Vvj9IHQrQiaAykI1bpxTi\\image_2.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-Vvj9IHQrQiaAykI1bpxTi\\image_3.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-Vvj9IHQrQiaAykI1bpxTi\\image_4.jpg""]",https://www.propmarket.co.ls/properties/Vvj9IHQrQiaAykI1bpxTi,Good,Traditional,Hillside,[],sale,4,Lesotho,Maseru,text_match,Thetsane West,site_land,,,train,not_residential:site_land,False,False
propmarket-cX6b5MXT_4s7reyZHBU0T,propmarket,Site,Sites available at Sehlabeng near Lancers Gap High School have o feta Masoleng. \n\nSize: 40x30\nPrice :R60k negotiable \nLease available\nCall69441833/58815922,"Thepa ena ya mofuta wa site e fumaneha Sehlabeng (ha Ts'oene Lipohong), Berea. E na le sebaka sena mme e fumaneha ka theko ya M 60,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",60000,LSL,Berea,"Sehlabeng (ha Ts'oene Lipohong), Berea",Site,0,0,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-cX6b5MXT_4s7reyZHBU0T\\image_1.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-cX6b5MXT_4s7reyZHBU0T\\image_2.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-cX6b5MXT_4s7reyZHBU0T\\image_3.jpg""]",https://www.propmarket.co.ls/properties/cX6b5MXT_4s7reyZHBU0T,Good,Traditional,Urban,"[""near schools""]",sale,3,Lesotho,Berea,text_match,Sehlabeng (ha Ts'oene Lipohong),site_land,,,train,not_residential:site_land,False,False
propmarket-q-t0GNqjdnLA-94mzjoub,propmarket,Site,This beautiful site is at Matsheng near Ha Foso It is a 30 by 20 site with 162k.. it also has a lease.,"Thepa ena ya mofuta wa site e fumaneha Ha Foso, Berea. E na le sebaka sena mme e fumaneha ka theko ya M 162,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",162000,LSL,Berea,"Ha Foso, Berea",Site,0,0,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-q-t0GNqjdnLA-94mzjoub\\image_1.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-q-t0GNqjdnLA-94mzjoub\\image_2.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-q-t0GNqjdnLA-94mzjoub\\image_3.jpg""]",https://www.propmarket.co.ls/properties/q-t0GNqjdnLA-94mzjoub,Good,Traditional,Suburban,[],sale,3,Lesotho,Berea,text_match,Ha Foso,site_land,,,train,not_residential:site_land,False,False
propmarket-dDPLER1KNyD4qwDzd4Ydd,propmarket,Site,"This site is very big, at Maputsoe Grossong e holima Seretse Khama.. it is a 30*25 site with electricity..it costs 120k.","Thepa ena ya mofuta wa site e fumaneha Maputsoe (ha Leaooa), Leribe. E na le sebaka sena mme e fumaneha ka theko ya M 120,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",120000,LSL,Leribe,"Maputsoe (ha Leaooa), Leribe",Site,0,0,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-dDPLER1KNyD4qwDzd4Ydd\\image_1.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-dDPLER1KNyD4qwDzd4Ydd\\image_2.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-dDPLER1KNyD4qwDzd4Ydd\\image_3.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-dDPLER1KNyD4qwDzd4Ydd\\image_4.jpg""]",https://www.propmarket.co.ls/properties/dDPLER1KNyD4qwDzd4Ydd,Good,Traditional,Urban,"[""electricity""]",sale,4,Lesotho,Leribe,text_match,Maputsoe (ha Leaooa),site_land,,,train,not_residential:site_land,False,False
propmarket-TtolD3XWIRLoyCVuHcihP,propmarket,Site,The site is at Qoatsaneng pela Mpilo Estates sena le form C..961.5 sqm,"Thepa ena ya mofuta wa site e fumaneha Qoatsaneng, Maseru. E na le sebaka sena mme e fumaneha ka theko ya M 850,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",850000,LSL,Maseru,"Qoatsaneng, Maseru",Site,0,0,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-TtolD3XWIRLoyCVuHcihP\\image_1.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-TtolD3XWIRLoyCVuHcihP\\image_2.jpg""]",https://www.propmarket.co.ls/properties/TtolD3XWIRLoyCVuHcihP,Good,Traditional,Suburban,[],sale,2,Lesotho,Maseru,text_match,Qoatsaneng,site_land,,,test,not_residential:site_land,False,False
propmarket-P5wCSRy0hN0gSnRWVGpie,propmarket,Site,"This site is at Motimposo at 150k ha re seha, ha se feletse ke 300k..It has a lease.","Thepa ena ya mofuta wa site e fumaneha Motimposo, Maseru. E na le sebaka sena mme e fumaneha ka theko ya M 150,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",150000,LSL,Maseru,"Motimposo, Maseru",Site,0,0,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-P5wCSRy0hN0gSnRWVGpie\\image_1.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-P5wCSRy0hN0gSnRWVGpie\\image_2.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-P5wCSRy0hN0gSnRWVGpie\\image_3.jpg""]",https://www.propmarket.co.ls/properties/P5wCSRy0hN0gSnRWVGpie,Good,Traditional,Suburban,[],sale,3,Lesotho,Maseru,text_match,Motimposo,site_land,,,train,not_residential:site_land,False,False
propmarket-iuFHBDeub5jDil8NgqcPI,propmarket,School,This is a non-running school in T.Y..It is a big site of approximately 34000sqm ...selling price 1.5m,"Thepa ena ya mofuta wa site e fumaneha Teyateyaneng, Berea. E na le sebaka sena mme e fumaneha ka theko ya M 1,500,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",1500000,LSL,Berea,"Teyateyaneng, Berea",Site,0,0,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-iuFHBDeub5jDil8NgqcPI\\image_1.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-iuFHBDeub5jDil8NgqcPI\\image_2.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-iuFHBDeub5jDil8NgqcPI\\image_3.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-iuFHBDeub5jDil8NgqcPI\\image_4.jpg""]",https://www.propmarket.co.ls/properties/iuFHBDeub5jDil8NgqcPI,Good,Traditional,Urban,"[""near schools""]",sale,4,Lesotho,Berea,text_match,Teyateyaneng,site_land,,,train,not_residential:site_land,False,False
propmarket-iIpAxXYSFy6r0duzALZ7K,propmarket,Public Bar,"A public bar/Mahlokoaneng at Naleli opposite Maria 'Mabasotho...Has a public bar, Butchery/Chesanyama, Food outlet ..It's a 900sqm site and still operational with good customer base....It costs 1.5m but you can pay 400k and settle the remaining balance in 12months.","Thepa ena ya mofuta wa site e fumaneha Naleli, Berea. E na le sebaka sena mme e fumaneha ka theko ya M 1,500,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",1500000,LSL,Berea,"Naleli, Berea",Site,0,0,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-iIpAxXYSFy6r0duzALZ7K\\image_1.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-iIpAxXYSFy6r0duzALZ7K\\image_2.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-iIpAxXYSFy6r0duzALZ7K\\image_3.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-iIpAxXYSFy6r0duzALZ7K\\image_4.jpg""]",https://www.propmarket.co.ls/properties/iIpAxXYSFy6r0duzALZ7K,Good,Traditional,Suburban,[],sale,4,Lesotho,Berea,text_match,Naleli,site_land,,,train,not_residential:site_land,False,False
propmarket-XRScC5K9_jkwCS0jizNOv,propmarket,Site,"We have this big land Investment in Thaba-Bosiu Maseru pela Central Bank site e boholo ba 8 acres at atleast 550k. The price is slightly negotiable, metsi a teng le motlakase.. U ka seha litsha kapa ua etsa likhoebo..","Thepa ena ya mofuta wa site e fumaneha Thaba Bosiu, Maseru. E na le sebaka sena mme e fumaneha ka theko ya M 550,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",550000,LSL,Maseru,"Thaba Bosiu, Maseru",Site,0,0,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-XRScC5K9_jkwCS0jizNOv\\image_1.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-XRScC5K9_jkwCS0jizNOv\\image_2.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-XRScC5K9_jkwCS0jizNOv\\image_3.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-XRScC5K9_jkwCS0jizNOv\\image_4.jpg""]",https://www.propmarket.co.ls/properties/XRScC5K9_jkwCS0jizNOv,Good,Traditional,Urban,[],sale,4,Lesotho,Maseru,text_match,Thaba Bosiu,site_land,,,val,not_residential:site_land,False,False
propmarket-1sNerhHis5nYLKoZsIRM-,propmarket,Site,Hillside 734sqm Lekhalong,"Thepa ena ya mofuta wa site e fumaneha Thetsane, Maseru. E na le sebaka sena mme e fumaneha ka theko ya M 110,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",110000,LSL,Maseru,"Thetsane, Maseru",Site,0,0,"[""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-1sNerhHis5nYLKoZsIRM-\\image_1.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-1sNerhHis5nYLKoZsIRM-\\image_2.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-1sNerhHis5nYLKoZsIRM-\\image_3.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-1sNerhHis5nYLKoZsIRM-\\image_4.jpg"", ""C:\\Users\\lepha\\Documents\\Codex\\Real Estate System\\generated\\images\\live\\propmarket\\propmarket-1sNerhHis5nYLKoZsIRM-\\image_5.png""]",https://www.propmarket.co.ls/properties/1sNerhHis5nYLKoZsIRM-,Good,Traditional,Hillside,"[""road access""]",sale,5,Lesotho,Maseru,text_match,Thetsane,site_land,,,train,not_residential:site_land,False,False
