property_id,source,title,description_en,description_st,price,currency,district,location_text,property_type,bedrooms,bathrooms,image_paths,listing_url,condition,style,environment,amenities,listing_intent,image_count,country,district_canonical,district_resolution,locality,use_bucket,cnn_property_type,cnn_bedroom_class,split,cnn_exclusion_reasons,is_residential_curated,is_cnn_candidate,reviewed_price,reviewed_listing_intent,reviewer_notes,include_in_reviewed_training
creative-stunning-home-to-let,creativeproperties,Stunning Home To Let,Golf Course Estate,"Thepa ena ya mofuta wa house e fumaneha Maseru, Old Europa. E na le dikamore tse 4 le dibate tse 3 mme e fumaneha ka theko ya M 48,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",48000,LSL,Maseru,"Maseru, Old Europa",House,4,3,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-stunning-home-to-let\\\\image_1.png\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-stunning-home-to-let\\\\image_2.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-stunning-home-to-let\\\\image_3.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-stunning-home-to-let\\\\image_4.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-stunning-home-to-let\\\\image_5.jpeg\""]""",https://creativeproperties.co.ls/properties/stunning-home-to-let/,Good,Traditional,Suburban,"""[\""yard\"", \""furnished\""]""",rent,5,Lesotho,Maseru,text_match,Maseru,residential,House,4,train,,True,True,,,,True
creative-7275,creativeproperties,"Beautiful, Highly Finished House for Sale_Serious Potential Buyers ONLY",Up-Market Property For Sale,"Thepa ena ya mofuta wa house e fumaneha Maseru, Lower Thetsane. E na le dikamore tse 4 le dibate tse 3 mme e fumaneha ka theko e sa hlaloswang. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",120000,LSL,Maseru,"Maseru, Lower Thetsane",House,4,3,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-7275\\\\image_1.png\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-7275\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-7275\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-7275\\\\image_4.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-7275\\\\image_5.jpg\""]""",https://creativeproperties.co.ls/properties/7275/,New,Modern,Suburban,"""[\""yard\"", \""furnished\""]""",sale,5,Lesotho,Maseru,text_match,Maseru,residential,House,4,train,,True,True,,,"nan Checked manually: keep for CNN training. Price is likely imputed or missing from source, so use cautiously in recommendation work.",True
creative-rental-home_lower-thetsane,creativeproperties,Rental Home_Lower Thetsane,4 Bedroom Rental Property,"Thepa ena ya mofuta wa house e fumaneha Maseru, Lower Thetsane. E na le dikamore tse 4 le dibate tse 3 mme e fumaneha ka theko ya M 24,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",24000,LSL,Maseru,"Maseru, Lower Thetsane",House,4,3,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-home_lower-thetsane\\\\image_1.png\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-home_lower-thetsane\\\\image_2.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-home_lower-thetsane\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-home_lower-thetsane\\\\image_4.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-home_lower-thetsane\\\\image_5.jpg\""]""",https://creativeproperties.co.ls/properties/rental-home_lower-thetsane/,Good,Traditional,Suburban,"""[\""yard\"", \""furnished\""]""",rent,5,Lesotho,Maseru,text_match,Maseru,residential,House,4,train,,True,True,,,,True
creative-newly-renovated-town-house-to-let,creativeproperties,Newly Renovated Town House To let,Newly Renovated,"Thepa ena ya mofuta wa house e fumaneha Maseru, Arrival Center. E na le dikamore tse 3 le dibate tse 2 mme e fumaneha ka theko ya M 15,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",15000,LSL,Maseru,"Maseru, Arrival Center",House,3,2,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-newly-renovated-town-house-to-let\\\\image_1.png\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-newly-renovated-town-house-to-let\\\\image_2.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-newly-renovated-town-house-to-let\\\\image_3.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-newly-renovated-town-house-to-let\\\\image_4.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-newly-renovated-town-house-to-let\\\\image_5.jpeg\""]""",https://creativeproperties.co.ls/properties/newly-renovated-town-house-to-let/,New,Traditional,Suburban,"""[\""yard\"", \""furnished\""]""",rent,5,Lesotho,Maseru,text_match,Maseru,residential,House,3,train,,True,True,,,,True
creative-rental-property-upper-thamae,creativeproperties,Rental Property Upper Thamae,Upper Thamae Home,"Thepa ena ya mofuta wa house e fumaneha Maseru, Ha Thamae. E na le dikamore tse 3 le dibate tse 2 mme e fumaneha ka theko ya M 8,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",8000,LSL,Maseru,"Maseru, Ha Thamae",House,3,2,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-property-upper-thamae\\\\image_1.png\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-property-upper-thamae\\\\image_2.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-property-upper-thamae\\\\image_3.jpeg\""]""",https://creativeproperties.co.ls/properties/rental-property-upper-thamae/,Good,Traditional,Suburban,"""[\""yard\"", \""furnished\""]""",rent,3,Lesotho,Maseru,text_match,Maseru,residential,House,3,train,,True,True,,,,True
creative-newly-renovated-home-for-rental,creativeproperties,Newly Renovated Home for Rental,Newly renovated home for rental,"Thepa ena ya mofuta wa house e fumaneha Hills View, Maseru, Hills View. E na le dikamore tse 3 le dibate tse 2 mme e fumaneha ka theko ya M 27,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",27000,LSL,Maseru,"Hills View, Maseru, Hills View",House,3,2,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-newly-renovated-home-for-rental\\\\image_1.png\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-newly-renovated-home-for-rental\\\\image_2.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-newly-renovated-home-for-rental\\\\image_3.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-newly-renovated-home-for-rental\\\\image_4.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-newly-renovated-home-for-rental\\\\image_5.jpeg\""]""",https://creativeproperties.co.ls/properties/newly-renovated-home-for-rental/,New,Traditional,Hillside,"""[\""yard\"", \""furnished\""]""",rent,5,Lesotho,Maseru,text_match,Hills View,residential,House,3,train,,True,True,,,,True
creative-new-housing-development-now-selling_under-construction,creativeproperties,New Housing Development Now Selling_Under Construction,Modern Contemporary Barn-Style Family Homes For Sale,"Thepa ena ya mofuta wa house e fumaneha Maseru, Lesia. E na le dikamore tse 3 le dibate tse 2 mme e fumaneha ka theko ya M 1,700,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",1700000,LSL,Maseru,"Maseru, Lesia",House,3,2,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-new-housing-development-now-selling_under-construction\\\\image_1.png\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-new-housing-development-now-selling_under-construction\\\\image_2.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-new-housing-development-now-selling_under-construction\\\\image_3.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-new-housing-development-now-selling_under-construction\\\\image_4.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-new-housing-development-now-selling_under-construction\\\\image_5.jpeg\""]""",https://creativeproperties.co.ls/properties/new-housing-development-now-selling_under-construction/,New,Modern,Suburban,"""[\""yard\"", \""furnished\""]""",sale,5,Lesotho,Maseru,text_match,Maseru,residential,House,3,train,,True,False,,,"Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory. Auto-excluded in first-pass review because the row looks multi-unit, development stock, or mixed commercial inventory.",False
creative-rental-home,creativeproperties,Rental Home,Beautiful Home for Rental,"Thepa ena ya mofuta wa house e fumaneha Maseru, Ha Matala. E na le dikamore tse 5 le dibate tse 4 mme e fumaneha ka theko ya M 15,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",15000,LSL,Maseru,"Maseru, Ha Matala",House,5,4,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-home\\\\image_1.png\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-home\\\\image_2.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-home\\\\image_3.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-home\\\\image_4.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-rental-home\\\\image_5.jpeg\""]""",https://creativeproperties.co.ls/properties/rental-home/,Good,Traditional,Suburban,"""[\""yard\"", \""furnished\""]""",rent,5,Lesotho,Maseru,text_match,Maseru,residential,House,5+,train,,True,True,,,,True
creative-7251,creativeproperties,Rental Unit Arrival Centre,Rental Unit,"Thepa ena ya mofuta wa house e fumaneha Arrival Centre, Maseru, Arrival Center. E na le dikamore tse 2 le dibate tse 1 mme e fumaneha ka theko e sa hlaloswang. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",120000,LSL,Maseru,"Arrival Centre, Maseru, Arrival Center",House,2,1,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-7251\\\\image_1.png\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-7251\\\\image_2.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-7251\\\\image_3.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-7251\\\\image_4.jpeg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\creativeproperties\\\\creative-7251\\\\image_5.jpeg\""]""",https://creativeproperties.co.ls/properties/7251/,Good,Traditional,Urban,"""[\""yard\"", \""furnished\""]""",rent,5,Lesotho,Maseru,text_match,Arrival Centre,residential,House,2,train,,True,True,,,nan Checked manually: keep for CNN training. Arrival Centre context suggests Urban environment. Rental price still needs later verification for recommendation use.,True
propmarket-55wgNg6vcMiZB1T01cRFN,propmarket,"2 Bedrooms, House","2 bedroom\nLounge\nDining \nKitchen with sink, bathroom with bathtub, \nToilet and basin located at Tsoapo le Bolila along tar road.","Thepa ena ya mofuta wa house e fumaneha Tsoapo Le Bolila, Maseru. E na le dikamore tse 2 le dibate tse 1 mme e fumaneha ka theko ya M 600,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",600000,LSL,Maseru,"Tsoapo Le Bolila, Maseru",House,2,1,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-55wgNg6vcMiZB1T01cRFN\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-55wgNg6vcMiZB1T01cRFN\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-55wgNg6vcMiZB1T01cRFN\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-55wgNg6vcMiZB1T01cRFN\\\\image_4.jpg\""]""",https://www.propmarket.co.ls/properties/55wgNg6vcMiZB1T01cRFN,Good,Traditional,Urban,"""[\""road access\"", \""tar road\"", \""bathtub\""]""",sale,4,Lesotho,Maseru,text_match,Tsoapo Le Bolila,residential,House,2,val,,True,True,,,,True
propmarket--W_SCLUM4oeyqk-b1OnxZ,propmarket,"3 Bedrooms, House",Ha Foso \n3 minutes walk from main road\n3 bedroom \nDouble garage \n900 square meters\n,"Thepa ena ya mofuta wa house e fumaneha Ha Foso, Berea. E na le dikamore tse 3 le dibate tse 2 mme e fumaneha ka theko ya M 850,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",850000,LSL,Berea,"Ha Foso, Berea",House,3,2,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket--W_SCLUM4oeyqk-b1OnxZ\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket--W_SCLUM4oeyqk-b1OnxZ\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket--W_SCLUM4oeyqk-b1OnxZ\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket--W_SCLUM4oeyqk-b1OnxZ\\\\image_4.jpg\""]""",https://www.propmarket.co.ls/properties/-W_SCLUM4oeyqk-b1OnxZ,Good,Traditional,Suburban,"""[\""garage\"", \""road access\""]""",sale,4,Lesotho,Berea,text_match,Ha Foso,residential,House,3,train,,True,True,,,,True
propmarket-j7OKpdwoVzgjB5YPW6h7t,propmarket,"4 Bedrooms, House",This beautiful double story house is at Makhoakhoeng Ha Nnelese with just 2.6M,"Thepa ena ya mofuta wa house e fumaneha Makhoakhoeng, Maseru. E na le dikamore tse 4 le dibate tse 2 mme e fumaneha ka theko ya M 2,000,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",2000000,LSL,Maseru,"Makhoakhoeng, Maseru",House,4,2,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-j7OKpdwoVzgjB5YPW6h7t\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-j7OKpdwoVzgjB5YPW6h7t\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-j7OKpdwoVzgjB5YPW6h7t\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-j7OKpdwoVzgjB5YPW6h7t\\\\image_4.jpg\""]""",https://www.propmarket.co.ls/properties/j7OKpdwoVzgjB5YPW6h7t,Good,Traditional,Suburban,"""[]""",sale,4,Lesotho,Maseru,text_match,Makhoakhoeng,residential,House,4,test,,True,True,,,,True
propmarket-F4nO0XrUILj-vFaZTz-k3,propmarket,"3 Bedrooms, House","Welcome to this 3 bedroom house in Ha Lesia, e fana ka libedroom tse 3, bathroom tse 2 ,1 fitted with bathtub, shower head.\nSitting room, dining room, lease available, valuation report available, single garage, wall fencing, lockable gate","Thepa ena ya mofuta wa house e fumaneha Ha Lesia, Maseru. E na le dikamore tse 3 le dibate tse 2 mme e fumaneha ka theko ya M 1,700,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",1700000,LSL,Maseru,"Ha Lesia, Maseru",House,3,2,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-F4nO0XrUILj-vFaZTz-k3\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-F4nO0XrUILj-vFaZTz-k3\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-F4nO0XrUILj-vFaZTz-k3\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-F4nO0XrUILj-vFaZTz-k3\\\\image_4.jpg\""]""",https://www.propmarket.co.ls/properties/F4nO0XrUILj-vFaZTz-k3,Good,Traditional,Suburban,"""[\""garage\"", \""bathtub\"", \""shower\"", \""walled property\""]""",sale,4,Lesotho,Maseru,text_match,Ha Lesia,residential,House,3,train,,True,True,,,,True
propmarket-OIdYZElsdeDyv41F4x5il,propmarket,"3 Bedrooms, House",This three bedroomed house is in Thetsane West. It is fully fitted and furnished. It ia secured with a wall capped with electric wire and electric gate.,"Thepa ena ya mofuta wa house e fumaneha Thetsane West, Maseru. E na le dikamore tse 3 le dibate tse 3 mme e fumaneha ka theko ya M 25,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",25000,LSL,Maseru,"Thetsane West, Maseru",House,3,3,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-OIdYZElsdeDyv41F4x5il\\\\image_1.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-OIdYZElsdeDyv41F4x5il\\\\image_2.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-OIdYZElsdeDyv41F4x5il\\\\image_3.jpg\"", \""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-OIdYZElsdeDyv41F4x5il\\\\image_4.jpg\""]""",https://www.propmarket.co.ls/properties/OIdYZElsdeDyv41F4x5il,Good,Traditional,Suburban,"""[\""furnished\"", \""walled property\""]""",rent,4,Lesotho,Maseru,text_match,Thetsane West,residential,House,3,train,,True,True,,,,True
propmarket-0QFUac0OuPntEvs1dcaLz,propmarket,"2 Bedrooms, House",4 room house Qeme hHa Mohasoa. Form C e teng. Motlakase o teng le ona.,"Thepa ena ya mofuta wa house e fumaneha Ha Mohasoa, Maseru. E na le dikamore tse 2 le dibate tse 1 mme e fumaneha ka theko ya M 250,000. Tlotla ena e tshwanetse ho shejwa bakeng sa bareki ba batlang menyetla ya nnete Lesotho.",250000,LSL,Maseru,"Ha Mohasoa, Maseru",House,2,1,"""[\""C:\\\\Users\\\\lepha\\\\Documents\\\\Codex\\\\Real Estate System\\\\generated\\\\images\\\\live\\\\propmarket\\\\propmarket-0QFUac0OuPntEvs1dcaLz\\\\image_1.jpg\""]""",https://www.propmarket.co.ls/properties/0QFUac0OuPntEvs1dcaLz,Good,Traditional,Suburban,"""[]""",sale,1,Lesotho,Maseru,text_match,Ha Mohasoa,residential,House,2,val,,True,True,,,,True
